"111" "Quebec Jean Lesage Intl" "Quebec" "Canada" "YQB" "cyqb" "46.791111" -71.393333 244 "-5" "A" "America/Toronto"
"112" "Red Deer Regional" "Red Deer Industrial" "Canada" "YQF" "cyqf" "52.182222" -113.894444 2968 "-7" "A" "America/Edmonton"
"113" "Windsor" "Windsor" "Canada" "YQG" "cyqg" "42.275556" -82.955556 622 "-5" "A" "America/Toronto"
"114" "Watson Lake" "Watson Lake" "Canada" "YQH" "cyqh" "60.116389" -128.8225 2255 "-8" "A" "America/Vancouver"
"115" "Kenora" "Kenora" "Canada" "YQK" "cyqk" "49.788334" -94.363056 1332 "-6" "A" "America/Winnipeg"
"116" "Lethbridge" "Lethbridge" "Canada" "YQL" "cyql" "49.630278" -112.799722 3047 "-7" "A" "America/Edmonton"
"117" "Greater Moncton Intl" "Moncton" "Canada" "YQM" "cyqm" "46.112221" -64.678611 232 "-4" "A" "America/Halifax"
"119" "Comox" "Comox" "Canada" "YQQ" "cyqq" "49.710833" -124.886667 84 "-8" "A" "America/Vancouver"
"120" "Regina Intl" "Regina" "Canada" "YQR" "cyqr" "50.431944" -104.665833 1894 "-6" "N" "America/Regina"
"121" "Thunder Bay" "Thunder Bay" "Canada" "YQT" "cyqt" "48.371944" -89.323889 653 "-5" "A" "America/Toronto"
"122" "Grande Prairie" "Grande Prairie" "Canada" "YQU" "cyqu" "55.179722" -118.885 2195 "-7" "A" "America/Edmonton"
"123" "Yorkton Muni" "Yorkton" "Canada" "YQV" "cyqv" "51.264721" -102.461667 1635 "-6" "N" "America/Regina"
"124" "North Battleford" "North Battleford" "Canada" "YQW" "cyqw" "52.769167" -108.24361 1799 "-6" "N" "America/Regina"
"125" "Gander Intl" "Gander" "Canada" "YQX" "cyqx" "48.936944" -54.568056 496 "-3.5" "A" "America/St_Johns"
"126" "Sydney" "Sydney" "Canada" "YQY" "cyqy" "46.161388" -60.047779 203 "-4" "A" "America/Halifax"
"127" "Quesnel" "Quesnel" "Canada" "YQZ" "cyqz" "53.026112" -122.510278 1789 "-8" "A" "America/Vancouver"
"128" "Resolute Bay" "Resolute" "Canada" "YRB" "cyrb" "74.716944" -94.969444 215 "-6" "A" "America/Winnipeg"
"129" "Riviere Du Loup" "Riviere Du Loup" "Canada" "YRI" "cyri" "47.764444" -69.584722 427 "-5" "A" "America/Toronto"
"130" "Roberval" "Roberval" "Canada" "YRJ" "cyrj" "48.52" -72.265556 586 "-5" "A" "America/Toronto"
"131" "Rocky Mountain House" "Rocky Mountain House" "Canada" "YRM" "cyrm" "52.429722" -114.904167 3244 "-7" "A" "America/Edmonton"
"132" "Rankin Inlet" "Rankin Inlet" "Canada" "YRT" "cyrt" "62.81139" -92.115833 94 "-6" "A" "America/Winnipeg"
"133" "Sudbury" "Sudbury" "Canada" "YSB" "cysb" "46.625" -80.798889 1141 "-5" "A" "America/Toronto"
"134" "Sherbrooke" "Sherbrooke" "Canada" "YSC" "cysc" "45.438611" -71.691389 792 "-5" "A" "America/Toronto"
"135" "Saint John" "St. John" "Canada" "YSJ" "cysj" "45.316111" -65.890278 357 "-4" "A" "America/Halifax"
"136" "Fort Smith" "Fort Smith" "Canada" "YSM" "cysm" "60.020278" -111.961944 671 "-7" "A" "America/Edmonton"
"137" "Nanisivik" "Nanisivik" "Canada" "YSR" "cysr" "72.982222" -84.613611 2106 "-5" "A" "America/Toronto"
"138" "Summerside" "Summerside" "Canada" "YSU" "cysu" "46.440556" -63.833611 56 "-4" "A" "America/Halifax"
"139" "Sachs Harbour" "Sachs Harbour" "Canada" "YSY" "cysy" "71.993889" -125.2425 282 "-7" "A" "America/Edmonton"
"140" "Cape Dorset" "Cape Dorset" "Canada" "YTE" "cyte" "64.23" -76.526667 164 "-5" "A" "America/Toronto"
"141" "Thompson" "Thompson" "Canada" "YTH" "cyth" "55.801111" -97.864166 729 "-6" "A" "America/Winnipeg"
"142" "Trenton" "Trenton" "Canada" "YTR" "cytr" "44.118889" -77.528056 283 "-5" "A" "America/Toronto"
"143" "Timmins" "Timmins" "Canada" "YTS" "cyts" "48.569721" -81.376667 967 "-5" "A" "America/Toronto"
"144" "City Centre" "Toronto" "Canada" "YTZ" "cytz" "43.627499" -79.396167 251 "-5" "A" "America/Toronto"
