"260" "akhal" "\n" "" "akh" "akhal" "turkmenistan" "n"
"261" "aeromilenio" "\n" "" "mni" "aeromil" "mexico" "n"
"262" "aklak air" "\n" "" "akk" "aklak" "canada" "n"
"263" "air kiribati" "\n" "4a" "akl" "" "kiribati" "y"
"264" "alkan air" "\n" "" "akn" "alkan air" "canada" "n"
"265" "angkor airways" "\n" "" "akw" "angkorways" "cambodia" "n"
"266" "air nippon network co. ltd." "\n" "eh" "akx" "alfa wing" "japan" "n"
"267" "ak navigator llc" "\n" "" "akz" "absolute" "kazakhstan" "n"
"268" "aero albatros" "\n" "" "alb" "albatros" "mexico" "n"
"269" "albion aviation" "\n" "" "ald" "albion" "united kingdom" "n"
"270" "aeroalas colombia" "\n" "" "ale" "aeroalas" "colombia" "n"
"271" "allied command europe (mobile force)" "\n" "" "alf" "aceforce" "belgium" "n"
"272" "aerotaxis albatros" "\n" "" "bts" "aerolineas albatros" "mexico" "n"
"273" "american flyers" "\n" "" "fys" "american flyers" "united states" "n"
"274" "aero coach aviation" "\n" "" "dfa" "aero coach" "united states" "n"
"275" "atlantic southeast airlines" "\n" "" "caa" "chandler" "united states" "n"
"276" "acm air charter" "\n" "" "bvr" "bavarian" "germany" "n"
"277" "air logistics" "\n" "" "alg" "airlog" "united states" "n"
"278" "aerovallarta" "\n" "" "all" "vallarta" "mexico" "n"
"279" "air alm" "\n" "" "alm" "antillean" "netherlands antilles" "n"
"280" "air lincoln" "\n" "" "aln" "chicago lincoln" "united states" "n"
"281" "america west airlines" "\n" "hp" "awe" "cactus" "united states" "y"
"282" "air wisconsin" "\n" "zw" "awi" "air wisconsin" "united states" "y"
"283" "aerotransporte de carga union" "\n" "" "tno" "aerounion" "mexico" "n"
"284" "aero taxis cessna" "\n" "" "tnd" "taxis cessna" "mexico" "n"
"285" "arizona express airlines" "\n" "" "tmp" "tempe" "united states" "n"
"286" "tatarstan airlines" "\n" "u9" "tak" "tatarstan" "russia" "y"
"287" "allegheny commuter airlines" "\n" "" "alo" "allegheny" "united states" "y"
"288" "alpliner ag" "\n" "" "alp" "alpiner" "switzerland" "n"
"289" "altair aviation (1986)" "\n" "" "alq" "altair" "canada" "n"
"290" "air luxor stp" "\n" "" "alu" "luxorjet" "sao tome and principe" "n"
"291" "alas de venezuela" "\n" "" "alv" "alven" "venezuela" "n"
"292" "alas nacionales" "\n" "" "alw" "s.a." "alnacional" "n"
"293" "alyeska air service" "\n" "" "aly" "alyeska" "united states" "n"
"294" "alta flights (charters) ltd." "\n" "" "alz" "" "canada" "n"
"295" "air sunshine" "\n" "" "rsi" "air sunshine" "united states" "y"
"296" "atma" "\n" "" "ama" "adik" "kazakhstan" "n"
"297" "aerolineas medellin" "\n" "" "amd" "aerolineas medellin" "colombia" "n"
"298" "ameriflight" "\n" "" "amf" "amflight" "united states" "n"
"299" "air libert" "\n" "vd" "" "" "france" "y"
"300" "air lithuania" "\n" "tt" "kla" "kaunas" "lithuania" "n"
"301" "air minas linhas a" "\n" "" "amg" "air minas" "brazil" "n"
"302" "alan mann helicopters ltd." "\n" "" "amh" "mann" "united kingdom" "n"
"303" "air maldives" "\n" "" "ami" "air maldives" "maldives" "n"
"304" "aviation amos" "\n" "" "amj" "aviation amos" "canada" "n"
"305" "amerer air" "\n" "" "amk" "amer air" "austria" "n"
"306" "air malawi" "\n" "qm" "aml" "malawi" "malawi" "y"
"307" "aeroputul international marculesti" "\n" "" "amm" "aerom" "moldova" "n"
"308" "air montenegro" "\n" "" "amn" "montenegro" "montenegro" "n"
"309" "air montreal (air holdings inc.)" "\n" "" "amo" "air montreal" "canada" "n"
"310" "aero transporte s.a. (atsa)" "\n" "" "amp" "atsa" "peru" "n"
"311" "aeromedicare ltd." "\n" "" "amq" "lifeline" "united kingdom" "n"
"312" "air sicilia" "\n" "bm" "" "" "italy" "y"
"313" "air specialties corporation" "\n" "" "amr" "air am" "united states" "n"
"314" "air muskoka" "\n" "" "ams" "air muskoka" "canada" "n"
"315" "ata airlines" "\n" "" "amt" "amtran" "united states" "y"
"316" "air macau" "\n" "nx" "amu" "air macao" "macao" "y"
"317" "amc airlines" "\n" "" "amv" "" "egypt" "y"
"318" "air midwest" "\n" "zv" "amw" "air midwest" "united states" "n"
"319" "air seychelles" "\n" "hm" "sey" "seychelles" "seychelles" "y"
"320" "air sofia" "\n" "" "sfb" "air sofia" "bulgaria" "n"
"321" "aeroméxico" "\n" "am" "amx" "aeromexico" "mexico" "y"
"322" "air ambar" "\n" "" "amy" "air ambar" "dominican republic" "n"
"323" "amiya airline" "\n" "" "amz" "amiya air" "nigeria" "n"
"324" "all nippon airways" "ana all nippon airways" "nh" "ana" "all nippon" "japan" "y"
"325" "air navigation and trading co. ltd." "\n" "" "anb" "air nav" "united kingdom" "n"
