"Tonga" "-19.9160818" "-175.2026423"
"Turkey" "38.9597594" "34.9249653"
"Trinidad and Tobago" "10.8677845" "-60.9821066"
"Tuvalu" "-7.7689589" "178.1167698"
"Taiwan" "23.9739374" "120.9820179"
"Tanzania" "-6.5247122" "35.7878438"
"Ukraine" "49.4871968" "31.2718321"
"Uganda" "1.5333554" "32.2166578"
"United States Minor Outlying Islands" "6.4295092" "-162.407309878782"
"United States" "39.7837304" "-100.4458824"
"Uruguay" "-32.8755547" "-56.0201524"
"Uzbekistan" "41.32373" "63.9528098"
"Vatican" "41.9034912" "12.4528349"
"Saint Vincent and the Grenadines" "12.90447" "-61.2765568"
"Venezuela" "8.0018709" "-66.1109317"
"Virgin Islands (British)" "18.4024395" "-64.5661641"
"Virgin Islands (U.S.)" NA NA
"Vietnam" "13.2904027" "108.4265113"
"Vanuatu" "-16.5255068" "168.1069154"
"Wallis and Futuna Islands" "-13.8173323" "-177.1489648"
"Samoa" "-13.7693894" "-172.1200507"
"Yemen" "16.3471243" "47.8915271"
"Mayotte" "-12.8230479" "45.1520755"
"South Africa" "-28.8166235" "24.991639"
"Zambia" "-14.5186238" "27.5599164"
"Zimbabwe" "-18.4554962" "29.7468414"
